dataset,column,dtype,null_pct,n_unique,source,meaning,example_values
historical_2015_2024,api_duels_won_per90_pos_season_pct,float64,0.0,17179,API-Football,Percentile rank within season and model position,0.2141057934508816 (169); 0.2252906976744186 (154); 0.2245762711864407 (105)
historical_2015_2024,api_passes_key_per90_pos_season_pct,float64,0.0,14124,API-Football,Percentile rank within season and model position,0.3842105263157894 (148); 0.3652849740932642 (140); 0.3619791666666667 (138)
historical_2015_2024,shot_on_target_rate_pos_season_pct,float64,0.0,4615,Engineered feature,Percentile rank within season and model position,0.5 (558); 0.156559405940594 (252); 0.162381596752368 (239)
historical_2015_2024,duel_win_rate_pos_season_pct,float64,0.0,14500,Engineered feature,Percentile rank within season and model position,0.2141057934508816 (169); 0.2252906976744186 (154); 0.2245762711864407 (105)
prediction_2025,player_season_uid,int64,0.0,2057,Engineered key/label,Stable unique identifier for player-season-team row,25391 (2); 26171 (2); 288769 (2)
prediction_2025,player_name,object,0.0,2054,Merged identifier/context,Merged or engineered feature,Idrissa Gueye (3); Phillip Tietz (2); Donyell Malen (2)
prediction_2025,season,int64,0.0,1,Merged identifier/context,Merged or engineered feature,2025 (2184)
prediction_2025,team_name,object,0.0,96,Merged identifier/context,Merged or engineered feature,Nottingham Forest (29); Girona (28); Marseille (28)
prediction_2025,league_id,int64,0.0,5,Merged identifier/context,Merged or engineered feature,135 (482); 39 (462); 140 (437)
prediction_2025,api_player_id,int64,0.0,2057,API-Football,API-Football player-season stat/attribute,25391 (2); 26171 (2); 288769 (2)
prediction_2025,api_team_id,int64,0.0,96,API-Football,API-Football player-season stat/attribute,65 (29); 547 (28); 81 (28)
prediction_2025,model_position,object,0.0,4,Engineered key/label,"Coarse position group used for model segmentation (G, D, M, F)",M (776); D (720); F (538)
prediction_2025,api_position,object,0.0,4,API-Football,API-Football player-season stat/attribute,M (776); D (720); F (538)
prediction_2025,target_market_value_eur,float64,100.0,0,Transfermarkt target layer,Current season market value target in EUR,nan (2184)
prediction_2025,target_market_value_log,float64,100.0,0,Transfermarkt target layer,Log-transformed target market value: log1p(target_market_value_eur),nan (2184)
prediction_2025,last_market_value_eur,float64,0.0,96,Transfermarkt target layer,Previous market value from source data in EUR,5000000.0 (128); 4000000.0 (108); 2000000.0 (102)
prediction_2025,last_market_value_log,float64,0.0,96,Transfermarkt target layer,Log-transformed previous market value: log1p(last_market_value_eur),15.424948670398354 (128); 15.201805169084134 (108); 14.508658238524095 (102)
prediction_2025,has_last_market_value,int64,0.0,1,Engineered/Merged,Flag (1/0) indicating previous market value availability,1 (2184)
prediction_2025,api_player_name,object,0.0,2054,API-Football,API-Football player-season stat/attribute,Idrissa Gueye (3); Phillip Tietz (2); Donyell Malen (2)
prediction_2025,api_team_name,object,0.0,96,API-Football,API-Football player-season stat/attribute,Nottingham Forest (29); Girona (28); Marseille (28)
prediction_2025,api_league_id,int64,0.0,5,API-Football,API-Football player-season stat/attribute,135 (482); 39 (462); 140 (437)
prediction_2025,api_season,int64,0.0,1,API-Football,API-Football player-season stat/attribute,2025 (2184)
prediction_2025,api_squad_rows,int64,0.0,34,API-Football,API-Football player-season stat/attribute,30 (187); 29 (171); 28 (148)
prediction_2025,api_appearances,int64,0.0,34,API-Football,API-Football player-season stat/attribute,28 (111); 27 (105); 26 (101)
prediction_2025,api_starts,int64,0.0,35,API-Football,API-Football player-season stat/attribute,0 (170); 1 (124); 2 (103)
prediction_2025,api_sub_appearances,int64,0.0,23,API-Football,API-Football player-season stat/attribute,0 (341); 1 (246); 2 (233)
prediction_2025,api_minutes,int64,0.0,1405,API-Football,API-Football player-season stat/attribute,2700 (19); 90 (16); 180 (12)
prediction_2025,api_avg_rating,float64,0.0,879,API-Football,API-Football player-season stat/attribute,6.6 (21); 6.7 (15); 6.9 (14)
prediction_2025,api_offsides,int64,0.0,27,API-Football,API-Football player-season stat/attribute,0 (1024); 1 (404); 2 (226)
prediction_2025,api_shots_total,int64,0.0,73,API-Football,API-Football player-season stat/attribute,0 (334); 1 (148); 2 (137)
prediction_2025,api_shots_on,int64,0.0,45,API-Football,API-Football player-season stat/attribute,0 (548); 1 (292); 2 (213)
prediction_2025,api_goals_total,int64,0.0,21,API-Football,API-Football player-season stat/attribute,0 (1038); 1 (443); 2 (241)
prediction_2025,api_goals_conceded,int64,0.0,53,API-Football,API-Football player-season stat/attribute,0 (2041); 7 (7); 27 (6)
prediction_2025,api_goals_assists,int64,0.0,15,API-Football,API-Football player-season stat/attribute,0 (1114); 1 (481); 2 (237)
prediction_2025,api_goals_saves,int64,0.0,83,API-Football,API-Football player-season stat/attribute,0 (2035); 4 (7); 91 (7)
prediction_2025,api_passes_total,int64,0.0,1083,API-Football,API-Football player-season stat/attribute,1 (11); 0 (9); 5 (9)
prediction_2025,api_passes_key,int64,0.0,72,API-Football,API-Football player-season stat/attribute,0 (297); 1 (186); 2 (149)
prediction_2025,api_tackles_total,int64,0.0,90,API-Football,API-Football player-season stat/attribute,0 (232); 1 (122); 2 (76)
prediction_2025,api_tackles_blocks,int64,0.0,35,API-Football,API-Football player-season stat/attribute,0 (692); 1 (337); 2 (208)
prediction_2025,api_tackles_interceptions,int64,0.0,56,API-Football,API-Football player-season stat/attribute,0 (370); 1 (202); 2 (138)
prediction_2025,api_duels_total,int64,0.0,348,API-Football,API-Football player-season stat/attribute,1 (36); 2 (26); 6 (25)
prediction_2025,api_duels_won,int64,0.0,201,API-Football,API-Football player-season stat/attribute,1 (54); 0 (52); 5 (45)
prediction_2025,api_dribbles_attempts,int64,0.0,111,API-Football,API-Football player-season stat/attribute,0 (269); 1 (163); 2 (101)
prediction_2025,api_dribbles_success,int64,0.0,64,API-Football,API-Football player-season stat/attribute,0 (386); 1 (235); 2 (172)
prediction_2025,api_dribbles_past,int64,0.0,49,API-Football,API-Football player-season stat/attribute,0 (285); 1 (218); 2 (154)
prediction_2025,api_fouls_drawn,int64,0.0,70,API-Football,API-Football player-season stat/attribute,0 (186); 1 (148); 2 (116)
prediction_2025,api_fouls_committed,int64,0.0,62,API-Football,API-Football player-season stat/attribute,0 (229); 2 (107); 1 (103)
prediction_2025,api_cards_yellow,int64,0.0,12,API-Football,API-Football player-season stat/attribute,0 (550); 1 (445); 2 (350)
prediction_2025,api_cards_red,int64,0.0,4,API-Football,API-Football player-season stat/attribute,0 (1952); 1 (215); 2 (16)
prediction_2025,api_penalty_won,int64,0.0,5,API-Football,API-Football player-season stat/attribute,0 (1946); 1 (190); 2 (41)
prediction_2025,api_penalty_commited,int64,0.0,4,API-Football,API-Football player-season stat/attribute,0 (1819); 1 (314); 2 (48)
prediction_2025,api_penalty_scored,int64,0.0,9,API-Football,API-Football player-season stat/attribute,0 (2019); 1 (79); 2 (38)
prediction_2025,api_penalty_missed,int64,0.0,3,API-Football,API-Football player-season stat/attribute,0 (2095); 1 (77); 2 (12)
prediction_2025,api_penalty_saved,int64,0.0,4,API-Football,API-Football player-season stat/attribute,0 (2132); 1 (35); 2 (13)
prediction_2025,api_goals_total_per90,float64,0.0,463,API-Football,Rate per 90 minutes,0.0 (1038); 0.044 (11); 0.138 (11)
prediction_2025,api_goals_assists_per90,float64,0.0,339,API-Football,Rate per 90 minutes,0.0 (1114); 0.036 (12); 0.044 (11)
prediction_2025,api_shots_total_per90,float64,0.0,1211,API-Football,Rate per 90 minutes,0.0 (334); 0.526 (8); 1.0 (7)
prediction_2025,api_shots_on_per90,float64,0.0,886,API-Football,Rate per 90 minutes,0.0 (548); 0.804 (8); 0.071 (7)
prediction_2025,api_passes_key_per90,float64,0.0,1231,API-Football,Rate per 90 minutes,0.0 (297); 1.0 (7); 0.333 (6)
